domain,cidr,asn,org
1c.ru,185.12.152.0/24,AS61293,"1c Llc, HTTP WWW.1C.RU"
2gis.com,91.236.51.0/24,AS197482,"Doublegis LLC"
2gis.ru,91.236.51.0/24,AS197482,"Doublegis LLC"
5-tv.ru,91.215.42.0/24,AS57724,"DDOS GUARD LTD"
adfox.ru,213.180.192.0/19,AS208398,"YANDEX LLC"
aeroflot.ru,195.209.66.0/24,AS34879,"Ooo Sovremennye Setevye Tekhnologii"
aif.ru,95.129.232.0/24,AS57724,"DDOS GUARD LTD"
alfabank.ru,217.12.104.0/24,AS15632,"Alfa bank Moscow Russia"
alice.yandex.ru,213.180.192.0/19,AS208398,"YANDEX LLC"
apptracer.ru,217.20.144.0/20,AS47764,"Odnoklassniki Services"
atomy.ru,78.159.246.0/24,AS204720,"Russia Sovintel edn Et"
auchan.ru,178.248.232.0/24,AS51115,"HLL LLC"
avito.ru,176.114.120.0/24,AS201012,"Keh Ecommerce LLC"
azbukavkusa.ru,109.238.90.0/24,AS201706,"SERVICEPIPE LLC"
beeline.ru,217.118.87.0/24,AS16345,"JSC Vimpelcom Wlan1 Moscow"
belkacar.ru,94.139.240.0/24,AS48096,"Mws Cloud, Limited Liability Company"
bitrix24.ru,178.248.238.0/24,AS51115,"HLL LLC"
bungly.ru,185.65.148.0/24,AS51115,"HLL LLC"
cbr.ru,185.178.208.0/24,AS57724,"DDOS GUARD LTD"
cian.ru,51.250.120.0/22,AS200350,"Yandex.cloud LLC"
citydrive.ru,178.248.239.0/24,AS51115,"HLL LLC"
crafttalk.ru,185.129.100.0/24,AS57724,"DDOS GUARD LTD"
crpt.ru,91.215.43.0/24,AS57724,"DDOS GUARD LTD"
csi-processing.com,185.215.4.0/24,AS57724,"RU TILDAPUBLISHING"
ctc.ru,185.71.67.0/24,AS43298,"Storm Networks LLC"
delimobil.ru,178.248.237.0/24,AS51115,"HLL LLC"
dellin.ru,178.248.238.0/24,AS51115,"HLL LLC"
digital.gov.ru,109.207.1.0/24,AS196747,"Pjsc Rostelecom"
dixy.ru,178.248.233.0/24,AS51115,"HLL LLC"
dnevnik.ru,178.248.232.0/24,AS51115,"HLL LLC"
dns-shop.ru,185.65.148.0/24,AS51115,"HLL LLC"
domashniy.ru,185.71.67.0/24,AS43298,"Storm Networks LLC"
drom.ru,185.65.149.0/24,AS51115,"HLL LLC"
dzen.ru,5.61.16.0/21,AS47764,"Odnoklassniki Services"
eda.yandex.ru,87.250.224.0/19,AS208398,"YANDEX LLC"
edadeal.ru,93.158.128.0/18,AS208398,"YANDEX LLC"
ertelecom.ru,91.221.164.0/24,AS201706,"SERVICEPIPE LLC"
finuslugi.ru,193.232.39.0/24,AS48009,"Mb Information Protection LLC"
fotostrana.ru,91.215.43.0/24,AS57724,"DDOS GUARD LTD"
foxford.ru,178.248.235.0/24,AS51115,"HLL LLC"
friday.ru,185.178.210.0/24,AS57724,"DDOS GUARD NET 10"
gazprombank.ru,82.202.190.0/24,AS209030,"RU KDP 0 0 1"
getcourse.ru,178.248.235.0/24,AS51115,"HLL LLC"
goldapple.ru,212.193.156.0/24,AS34879,"LLC NGENIX"
goskey.ru,193.162.30.0/24,AS212575,"Infotecs Internet Trust JSC"
gosuslugi.ru,213.59.252.0/22,AS12389,"Pjsc Rostelecom"
grandtrain.ru,95.129.236.0/24,AS57724,"DDOS GUARD LTD"
habr.com,178.248.237.0/24,AS51115,"HLL LLC"
hh.ru,94.124.200.0/24,AS47724,"LLC Headhunter Online Hiring Services"
ilovesakura.ru,178.248.235.0/24,AS51115,"HLL LLC"
ivi.ru,80.67.43.0/24,AS57629,"LLC IVI.RU"
kinopoisk.ru,213.180.199.0/24,AS208398,"YANDEX LLC"
kion.ru,185.65.148.0/24,AS51115,"HLL LLC"
kommersant.ru,178.248.238.0/24,AS51115,"HLL LLC"
komus.ru,195.209.66.0/24,AS34879,"Ooo Sovremennye Setevye Tekhnologii"
kontur.ru,46.17.206.0/24,AS49675,"Skb Kontur Production JSC"
kp.ru,185.71.64.0/24,AS43298,"Storm Networks LLC"
kuper.ru,194.190.0.0/24,AS201706,"SERVICEPIPE LLC"
lavka.yandex.ru,87.250.224.0/19,AS208398,"YANDEX LLC"
lenta.ru,81.19.72.0/24,AS24638,"Ramtel Network"
magnit.ru,178.248.238.0/24,AS51115,"HLL LLC"
mail.ru,185.180.200.0/22,AS47764,"LLC VK"
maps.yandex.ru,213.180.192.0/19,AS208398,"YANDEX LLC"
market.yandex.ru,87.250.224.0/19,AS208398,"YANDEX LLC"
matchtv.ru,95.181.181.0/24,AS210756,"Edgecenter LLC"
max.ru,155.212.192.0/20,AS47764,"LLC VK"
mchs.gov.ru,95.173.146.0/24,AS43797,"RUSSIAN STATE INTERNET NETWORK"
megafon.ru,188.162.32.0/19,AS31133,"Infrastructure in Samara"
megamarket.ru,91.206.127.0/24,AS201706,"SERVICEPIPE LLC"
metro-cc.ru,95.181.177.0/24,AS210756,"Edgecenter LLC"
mir-platform.ru,194.190.0.0/24,AS201706,"SERVICEPIPE LLC"
mk.ru,85.193.70.0/23,AS48399,"Svyaz Vsd LLC"
moex.com,85.118.181.0/24,AS35021,"Mb Technologies LLC Moscow Network"
mos.ru,212.11.151.0/24,AS8901,"Gku Mosgortelecom"
mts.ru,178.248.238.0/24,AS51115,"HLL LLC"
music.vk.com,95.163.32.0/19,AS47764,"Vk Services"
music.yandex.ru,213.180.192.0/19,AS208398,"YANDEX LLC"
mvd.ru,185.6.47.0/24,AS51464,"MITIGATOR CLOUD LLC"
mvideo.ru,185.71.67.0/24,AS43298,"Storm Networks LLC"
nalog.ru,37.220.164.0/24,AS205312,"Network for Ngenix"
navigator.yandex.ru,213.180.192.0/19,AS208398,"YANDEX LLC"
netology.ru,51.250.50.0/23,AS200350,"Yandex.cloud LLC"
nspk.ru,194.190.0.0/24,AS201706,"SERVICEPIPE LLC"
ntv.ru,185.129.100.0/24,AS57724,"DDOS GUARD LTD"
ok.ru,95.163.32.0/19,AS47764,"Vk Services"
otm-r.com,158.160.0.0/16,AS200350,"Yandex.cloud LLC"
otr-online.ru,178.248.236.0/24,AS51115,"HLL LLC"
ozon.ru,185.73.193.0/24,AS44386,"Data center Network in Zone1"
perekrestok.ru,109.238.90.0/24,AS201706,"SERVICEPIPE LLC"
petrovich.ru,185.165.123.0/24,AS64432,"Variti LLC"
playerok.com,91.215.42.0/24,AS57724,"DDOS GUARD LTD"
pochta.ru,212.164.136.0/21,AS12389,"Pjsc Rostelecom"
poisondrop.ru,95.129.236.0/24,AS57724,"DDOS GUARD LTD"
pos.gosuslugi.ru,109.207.9.0/24,AS196747,"Pjsc Rostelecom"
psbank.ru,193.200.10.0/24,AS42231,"Pjsc Promsvyazbank"
rabota.ru,185.163.159.0/24,AS207104,"Bizone LLC"
radioplayer.ru,23.105.253.0/24,AS39134,"EDINAYA SET LIMITED LIABILITY COMPANY"
rambler.ru,81.19.82.0/24,AS24638,"Ramtel Network"
rbc.ru,178.248.236.0/24,AS51115,"HLL LLC"
rg.ru,185.65.148.0/24,AS51115,"HLL LLC"
ria.ru,194.190.139.0/24,AS57352,"Federal State Unitary Enterprise Rossiya Segodnya International Information Agency"
rosseti.ru,193.200.34.0/23,AS42809,"Pjsc Rosseti"
rostrud.gov.ru,178.248.232.0/24,AS51115,"HLL LLC"
rt.com,91.215.41.0/24,AS57724,"DDOS GUARD LTD"
rt.ru,87.226.128.0/17,AS12389,"Pjsc Rostelecom"
rutube.ru,109.238.90.0/24,AS201706,"SERVICEPIPE LLC"
rzd.ru,212.164.136.0/21,AS12389,"Pjsc Rostelecom"
samokat.ru,109.238.88.0/24,AS201706,"SERVICEPIPE LLC"
sberclass.ru,185.169.155.0/24,AS201706,"MASTERTEL"
sbis.ru,91.213.144.0/24,AS208981,"Data Center LLC"
sbp.nspk.ru,194.190.0.0/24,AS201706,"SERVICEPIPE LLC"
skillbox.ru,185.65.148.0/24,AS51115,"HLL LLC"
spas-tv.ru,51.250.0.0/17,AS200350,"Yandex.cloud LLC"
star-conflict.com,185.253.20.0/24,AS48989,"Cluster LLC"
stroki.mts.ru,185.65.148.0/24,AS51115,"HLL LLC"
superjob.ru,185.71.67.0/24,AS43298,"Storm Networks LLC"
taxi.yandex.ru,37.9.112.0/24,AS208398,"YANDEX LLC"
tele2.ru,195.209.67.0/24,AS34879,"Ooo Sovremennye Setevye Tekhnologii"
tnt-online.ru,185.65.148.0/24,AS51115,"HLL LLC"
trueconf.ru,185.71.64.0/24,AS43298,"Storm Networks LLC"
tutu.ru,178.248.234.0/24,AS51115,"HLL LLC"
tv3.ru,193.232.148.0/22,AS48061,"Limited Liability Company Gpm Digital Technologies"
tvc.ru,178.248.233.0/24,AS51115,"HLL LLC"
uchi.ru,109.238.90.0/24,AS201706,"SERVICEPIPE LLC"
upravel.com,185.215.4.0/24,AS57724,"RU TILDAPUBLISHING"
vedomosti.ru,185.65.148.0/24,AS51115,"HLL LLC"
vk.com,93.186.224.0/21,AS47541,"Vkontakte Services"
vkontakte.ru,87.240.128.0/18,AS47541,"Vkontakte Services"
vkplay.ru,95.163.32.0/19,AS47764,"Vk Services"
vkusvill.ru,178.248.232.0/24,AS51115,"HLL LLC"
vseinstrumenti.ru,185.169.155.0/24,AS201706,"MASTERTEL"
vtb.ru,195.242.82.0/24,AS24823,"Vtb Bank public Joint stock Company"
wb.ru,213.184.155.0/24,AS57073,"LLC Wildberries"
wildberries.ru,185.62.202.0/24,AS57073,"LLC Wildberries"
wink.ru,46.235.186.0/24,AS34879,"Network for Ngenix, Moscow Rostelecom"
x5.ru,91.206.100.0/23,AS44704,"Pjsc X Corporate Center"
ya.ru,77.88.44.0/24,AS208398,"YANDEX LLC"
yandex.com,77.88.55.0/24,AS208398,"YANDEX LLC"
yandex.net,213.180.192.0/19,AS208398,"YANDEX LLC"
yandex.ru,77.88.44.0/24,AS208398,"YANDEX LLC"
yastatic.net,37.9.64.0/24,AS208398,"YANDEX LLC"
zvuk.com,91.221.164.0/24,AS201706,"SERVICEPIPE LLC"
